GeneID,logFC,PValue,FDR,Regulation,PathwayID,PathwayName,PathwaySource
BCAM,0.710463031,6.59e-13,6.59e-13,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
BST1,0.827978246,3.75e-08,3.75e-08,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
CDKN2A,0.620464322,0.003718812,0.003718812,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
COL5A3,0.954958969,2.17e-10,2.17e-10,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
CSF1,1.122164592,3.34e-43,3.34e-43,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
DDR1,0.772547226,0.00525808,0.00525808,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
FAM107A,4.81982213,0.02111992,0.02111992,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
ITGA11,1.173486987,3.55e-60,3.55e-60,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
ITGA7,1.069824442,4.13e-09,4.13e-09,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
ITGA8,0.947211601,2.96e-11,2.96e-11,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
ITGBL1,0.860595941,3.54e-14,3.54e-14,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
NF1,2.371085143,0.003014985,0.003014985,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
PLPP3,0.702883824,2.77e-21,2.77e-21,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
PTK2B,1.532653057,0.000859247,0.000859247,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
SFRP1,0.679862909,1.79e-50,1.79e-50,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
SMAD3,0.653476999,3.09e-39,3.09e-39,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
SVEP1,2.257524087,6.75e-280,6.75e-280,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
TEK,1.023774058,2.62e-32,2.62e-32,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
THY1,0.602901533,7.73e-40,7.73e-40,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
TMEM8B,0.58925113,0.001296766,0.001296766,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
VCAM1,5.929665834,5.72e-10,5.72e-10,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
VEGFA,0.799914277,1.92e-12,1.92e-12,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
ABCC1,0.714899839,4.63e-27,4.63e-27,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
ACKR3,2.728798054,4.35e-06,4.35e-06,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
ACKR4,2.089595387,0.025125813,0.025125813,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
ADAMTS9,2.037593541,1.68e-06,1.68e-06,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
ADGRG1,1.131584113,1.27e-06,1.27e-06,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
