GeneID,logFC,PValue,FDR
SPSB1,0.783372741,1.85e-08,1.85e-08
STK32B,0.692952571,1.73e-08,1.73e-08
HLA-C-3,0.620073404,1.71e-08,1.71e-08
BCL3,0.991108396,1.43e-08,1.43e-08
SGSM2,0.647592535,1.37e-08,1.37e-08
REEP2,0.614256444,1.32e-08,1.32e-08
ABAT,1.806871105,1.29e-08,1.29e-08
BIN1,0.637099474,1.27e-08,1.27e-08
HSPA2,0.848361482,1.26e-08,1.26e-08
PCK2,1.049581388,1.25e-08,1.25e-08
NCKAP5L,0.625116409,1.22e-08,1.22e-08
OBSL1,0.683038222,1.16e-08,1.16e-08
GH1,22.30914609,1.14e-08,1.14e-08
DNASE2,0.701582226,1.09e-08,1.09e-08
MTHFR,0.763110149,1.08e-08,1.08e-08
HLA-B-3,0.911206426,1.03e-08,1.03e-08
PCK2-2,1.046909427,1.02e-08,1.02e-08
PSMB10,0.81016712,7.49e-09,7.49e-09
GASK1B,1.593596881,6.65e-09,6.65e-09
VLDLR,1.26074249,6.31e-09,6.31e-09
PAPPA,0.695240858,6.2e-09,6.2e-09
SHISA3,1.825104674,4.96e-09,4.96e-09
ZNF219,1.002054442,3.21e-09,3.21e-09
HBD,2.87912557,3.2e-09,3.2e-09
CSDC2,0.72159994,3.16e-09,3.16e-09
SSH3,0.848990719,2.95e-09,2.95e-09
TSLP,2.205893783,2.75e-09,2.75e-09
PARD3B,0.6879187,2.27e-09,2.27e-09
APOL3,2.043767206,1.75e-09,1.75e-09
ADM2,1.30996658,1.44e-09,1.44e-09
ARRB1,0.896526619,1.32e-09,1.32e-09
CDC42EP2,0.662726455,1.27e-09,1.27e-09
CRYBG1,1.260093649,1.25e-09,1.25e-09
HSD17B2,1.224028109,1.1e-09,1.1e-09
TTC28,0.621547647,7.97e-10,7.97e-10
ADORA2B,1.366361382,7.61e-10,7.61e-10
PITPNM2,0.609234454,7.53e-10,7.53e-10
PNMA8A,0.987950059,6.65e-10,6.65e-10
HRH1,0.767106336,5.67e-10,5.67e-10
TMEM176A,5.120915101,3.19e-10,3.19e-10
PSME1,0.61038376,3.11e-10,3.11e-10
PSME1-2,0.61038376,3.11e-10,3.11e-10
RASSF2,1.158915735,2.92e-10,2.92e-10
GCNT4,1.273261653,1.7e-10,1.7e-10
MOCOS,1.640328746,1.65e-10,1.65e-10
F2RL2,0.673611873,1.38e-10,1.38e-10
MR1,0.905479256,9.54e-11,9.54e-11
DTX3L,0.707480272,7.83e-11,7.83e-11
SLC6A9,1.039704936,7.22e-11,7.22e-11
CACNA1A,1.169272576,3.61e-11,3.61e-11
ROR1,1.294989909,3.58e-11,3.58e-11
KIF13B,0.735715065,3.45e-11,3.45e-11
C1RL,1.245851593,3.2e-11,3.2e-11
C1RL-2,1.245851593,3.2e-11,3.2e-11
LSS,0.654101045,2.78e-11,2.78e-11
PCBP3,0.910449132,2.18e-11,2.18e-11
IFI35,1.145242993,1.93e-11,1.93e-11
EEPD1,1.154037241,1.13e-11,1.13e-11
GALNT15,1.061777961,1.1e-11,1.1e-11
DIPK1A,0.721737113,9.36e-12,9.36e-12
SERPING1,1.203187643,5.53e-12,5.53e-12
GPRC5B,1.256622235,5.32e-12,5.32e-12
WFDC1,0.70281089,1.01e-12,1.01e-12
C7,2.1182244,9.44e-13,9.44e-13
CHST15,1.252018796,8.98e-13,8.98e-13
CDCP1,1.344518108,6.09e-13,6.09e-13
TP53,0.611357724,2.97e-13,2.97e-13
FNBP1,0.683606259,2.79e-13,2.79e-13
HLA-C-4,0.717168979,2.1e-13,2.1e-13
SECTM1,1.215153357,1.53e-13,1.53e-13
TMEM65,0.858896013,1.16e-13,1.16e-13
LMCD1,1.079508745,4.54e-14,4.54e-14
LPCAT3,0.846250575,4.42e-14,4.42e-14
SLC12A7,1.227254075,2.24e-14,2.24e-14
PTGER2,0.79768085,1.42e-14,1.42e-14
EPHX1,0.618151572,5.87e-16,5.87e-16
PITX1,0.787736902,4.72e-16,4.72e-16
ASNS,0.725957501,4.14e-16,4.14e-16
ST3GAL1,0.623617515,2.26e-16,2.26e-16
IFITM2,0.695671645,1.33e-16,1.33e-16
TRANK1,1.447392551,1e-16,1e-16
TUFT1,0.841373424,4.24e-17,4.24e-17
CYTL1,1.887707433,3.67e-17,3.67e-17
