ADAMTS16,7,5,30,18,67,36,31,20,22,41
ADAMTS16-DT,0,0,0,0,1,0,0,0,1,0
ADAMTS17,7,13,5,4,11,16,8,12,5,6
ADAMTS18,22,17,7,13,6,3,3,0,9,4
ADAMTS19,2,0,0,0,0,0,0,0,0,0
ADAMTS19-AS1,0,0,0,0,0,0,0,0,0,0
ADAMTS2,16787,32078,20023,25891,16032,20781,27935,20315,14581,23863
ADAMTS20,4,0,1,3,2,0,0,0,0,3
ADAMTS3,141,197,137,139,215,181,71,93,121,66
ADAMTS4,1794,2450,2140,1859,2470,1673,1241,1134,2193,1125
ADAMTS5,686,2915,700,1938,671,2303,830,710,133,619
ADAMTS6,3262,2652,4164,2660,3667,2476,2654,2110,3868,3057
ADAMTS7,1143,1967,2315,1075,670,1054,2077,1235,595,1180
ADAMTS7P1,0,0,1,0,8,9,1,0,0,0
ADAMTS7P3,4,3,6,5,0,1,1,4,2,4
ADAMTS7P4,0,0,0,0,0,0,0,0,0,0
ADAMTS7P5,2,4,2,1,2,0,0,0,1,0
ADAMTS8,2,5,3,2,0,1,0,0,3,1
ADAMTS9,1230,357,252,250,804,122,285,191,289,232
ADAMTS9-AS1,4,0,1,2,1,0,1,0,1,0
ADAMTS9-AS2,16,10,9,1,5,2,15,2,8,4
ADAMTSL1,12323,11483,11461,11701,14236,11310,12187,12016,9723,11838
ADAMTSL2,61,51,86,9,27,11,73,29,16,40
ADAMTSL3,32,26,12,10,11,14,26,31,4,16
ADAMTSL4,435,415,178,293,278,477,333,480,17,129
ADAMTSL4-AS1,19,30,0,17,3,35,14,25,11,8
ADAMTSL4-AS2,2,0,0,0,2,0,0,0,1,0
ADAMTSL5,411,266,524,247,560,254,511,389,518,400
ADAP1,105,94,54,92,45,54,112,57,33,10
ADAP2,9,2,30,1,4,7,7,9,6,3
ADAR,7146,6708,6506,6487,7722,6159,4669,5347,5372,4642
ADARB1,1014,1103,1596,665,1916,1137,1057,1096,1356,912
ADARB2,0,0,0,0,0,0,0,0,0,0
ADARB2-AS1,0,0,0,0,0,0,0,0,0,0
ADAT1,853,766,856,887,1162,953,654,608,786,667
ADAT2,217,215,305,418,376,407,181,211,219,195
ADAT3,207,221,151,178,237,157,158,147,188,132
ADCK1,125,126,119,92,159,107,78,64,114,106
ADCK2,379,293,551,325,462,344,441,338,508,431
ADCK5,421,318,296,293,419,327,326,280,307,292
ADCY1,40,70,71,128,55,45,75,49,21,40
ADCY10,8,3,6,2,3,4,4,5,2,3
ADCY10P1,23,20,43,22,21,13,2,19,13,12
ADCY2,71,2,15,1,20,1,10,5,40,9
ADCY3,1029,1248,1454,1332,1345,1416,889,1137,1230,796
ADCY4,198,310,602,80,72,97,203,183,30,140
ADCY5,0,0,0,0,0,1,1,0,5,0
ADCY6,2975,2018,2588,1362,2143,1232,2118,1543,1953,1565
ADCY7,3020,2784,2819,2751,3800,3296,3316,3293,3506,3286
ADCY8,20,0,6,2,20,0,3,2,6,0
ADCY9,1719,2155,2017,1758,2278,1969,2241,2252,1874,1763
ADCYAP1,0,0,0,0,0,0,0,0,1,0
ADCYAP1R1,0,2,0,0,0,0,3,0,0,0
ADD1,10468,11096,11266,11241,11442,10137,10349,11168,9183,8329
ADD2,18,23,7,73,272,171,11,191,2,0
ADD3,4102,4765,7127,5027,5343,5466,6130,4922,3333,4893
ADD3-AS1,5,7,4,0,5,5,0,3,0,1
ADGB,0,0,0,0,0,0,0,0,0,0
ADGB-DT,0,0,0,0,0,0,0,0,0,0
ADGRA1,0,0,0,0,0,1,0,0,0,0
ADGRA1-AS1,0,0,0,0,0,0,0,0,0,0
ADGRA2,4160,4128,5318,4193,6739,4034,4939,5435,5137,4366
ADGRA3,3443,2607,1644,2286,3452,2138,2053,1904,2390,1935
ADGRA3P1,3,0,0,0,5,0,4,0,1,3
ADGRB1,0,24,0,5,0,20,0,6,0,3
ADGRB2,383,219,280,260,330,193,292,237,245,188
ADGRB3,4,1,4,0,1,0,1,0,9,0
ADGRB3-DT,0,0,0,0,0,0,0,0,2,0
ADGRD1,97,169,84,192,190,155,133,100,234,183
ADGRD1-AS1,0,0,0,0,0,0,0,0,0,0
ADGRD2,0,0,0,0,0,1,0,0,0,0
ADGRE1,1,0,1,2,1,0,1,0,0,0
ADGRE2,58,45,274,111,57,41,15,2,3,2
ADGRE3,0,0,0,0,1,0,0,0,0,0
ADGRE4P,0,0,0,0,0,0,0,0,0,0
ADGRE5,3458,3361,4778,4054,4696,3819,4282,3846,3611,2778
ADGRF1,0,0,0,0,1,0,1,0,0,4
ADGRF3,12,3,9,8,2,11,6,11,2,9
ADGRF4,10,4,11,8,26,2,7,2,6,11
