Feature,Fold_Enrichment,Overlaps_A,Total_A,Cell
SNAI2,0.904148,9,201,BT-549
JUN,0.902559,118,201,A549
TP53,0.901222,19,201,Mammary glands
E2F1,0.898071,119,201,LNCAP
TP53,0.893975,103,201,MDA-MB-231
E2F1,0.893279,107,201,MCF-7
JUN,0.892556,68,201,MDA-MB-231
TP53,0.892556,2,201,A549
TP53,0.888672,11,201,Saos-2
JUN,0.888036,102,201,BJ-5ta
STAT3,0.886654,52,201,MCF-7
JUN,0.884758,12,201,Ishikawa
JUN,0.883171,57,201,A549
JUN,0.880701,5,201,MCF-7
E2F1,0.878576,113,201,LNCAP
SNAI2,0.87675,16,201,MCF-7
TCF4,0.875716,4,201,JHH-7
TP53,0.874341,12,201,MCF 10A
JUN,0.873884,9,201,A549
TP53,0.872424,5,201,293
STAT3,0.868343,10,201,Breast cancer cells
FOXM1,0.864837,21,201,MCF-7
NFKB1,0.864154,55,201,HBL-1
SMAD3,0.8629,101,201,H69
JUN,0.860295,10,201,A549
JUN,0.858917,41,201,A549
STAT3,0.855538,4,201,Breast cancer cells
SMAD3,0.851692,99,201,H69
TP53,0.8485,45,201,MCF-7
E2F1,0.845668,107,201,MDA-MB-231
JUN,0.844957,92,201,HAEC
JUN,0.843872,1,201,PC-3
TP53,0.843872,1,201,HCT 116
TP53,0.843872,2,201,HCT 116
NFKB1,0.841984,73,201,L-1236
JUN,0.840814,5,201,K-562
JUN,0.838788,3,201,MCF 10A
JUN,0.838283,15,201,K-562
TP53,0.836269,1,201,hESC derived ectodermal cells
TCF4,0.83168,80,201,CAL-1
SMAD3,0.82686,95,201,H69
STAT3,0.826645,65,201,MDA-MB-468
SMAD3,0.824595,21,201,LX2
SMAD3,0.823982,29,201,PC-3
FOXM1,0.823001,19,201,SK-N-SH
E2F1,0.821967,102,201,LNCAP
JUN,0.820447,64,201,MDA-MB-231
JUN,0.817708,102,201,A549
STAT3,0.81337,8,201,GM12878
SMAD3,0.812258,96,201,H69
SMAD3,0.81116,39,201,NCI-H441
SMAD3,0.806025,97,201,WHIM12
E2F1,0.800568,100,201,LNCAP
JUN,0.799763,15,201,Myometrium
TP53,0.799419,60,201,HCT 116
JUN,0.799404,101,201,A549
TP53,0.794657,16,201,Lymphoblastoid cells
TP53,0.793384,1,201,hESC derived ectodermal cells
JUN,0.78666,2,201,HUVEC
JUN,0.785609,95,201,A549
SMAD3,0.78484,95,201,SUM 159PT
JUN,0.783892,96,201,A549
SMAD3,0.781927,49,201,NCI-H441
SNAI2,0.781692,8,201,Unclassified
SMAD3,0.773962,78,201,Keratinocytes
TP53,0.773549,5,201,T cells
E2F1,0.769392,91,201,Unclassified
TP53,0.767156,2,201,Hep G2
STAT3,0.766501,29,201,SU-DHL-1
JUN,0.762891,34,201,K-562
TP53,0.760868,1,201,LNCAP
STAT3,0.75845,18,201,BT-474
JUN,0.756378,87,201,A549
E2F1,0.754682,84,201,Unclassified
SOX9,0.752799,39,201,MCF-7
E2F1,0.750752,73,201,Unclassified
JUN,0.749738,90,201,T-47D
TCF4,0.746763,23,201,A-673
JUN,0.746446,14,201,Myometrium
TP53,0.745589,2,201,A2780
STAT3,0.74335,24,201,Breast cancer cells
JUN,0.741125,8,201,A549
JUN,0.738341,90,201,A549
JUN,0.728403,48,201,MCF-7
E2F1,0.727657,88,201,C4-2
JUN,0.725064,82,201,A549
TP53,0.72238,2,201,Erythroblasts
JUN,0.719647,84,201,A549
JUN,0.718441,44,201,K-562
STAT3,0.717617,17,201,MDA-MB-468
SMAD3,0.714581,82,201,BT67
JUN,0.714228,30,201,hESC HUES8
E2F1,0.711431,67,201,Unclassified
SNAI2,0.708594,4,201,MCF-7
JUN,0.707409,82,201,A549
JUN,0.705463,43,201,K-562
FOXM1,0.701455,3,201,HeLa
