GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation
AKR1C2,2518,2.78,2.56,2.56,1.87,2.03,0.85,0.918348411,0.004314572,0.004314572,*
CCDC102A,2429,3.83,4.91,3.99,2.4,3.26,2.98,0.626205136,0.004272131,0.004272131,*
NLGN2-2,5370,3.78,10.23,6.25,3.79,2.67,2.78,1.189508363,0.004244344,0.004244344,Up
TRIM34,2293,4.57,3.39,3.89,2.53,3.45,2.48,0.647377555,0.004226188,0.004226188,*
SHANK3-2,6896,0.64,0.44,1.24,0.29,0.38,0.51,1.0681027,0.004066848,0.004066848,Up
ROR2,2798,0.15,0.21,0.36,0.06,0,0.09,2.820628008,0.00384416,0.00384416,Up
GXYLT2,3276,2.79,2.72,2.19,1.78,1.85,1.44,0.67025888,0.003765623,0.003765623,*
ID2-AS1,807,0.77,1.04,2.86,0.32,0.09,0.28,2.830400587,0.003731384,0.003731384,Up
CDKN2A,953,12.33,15.06,10.57,9.58,8.2,9.11,0.620464322,0.003718812,0.003718812,*
RNF217-AS1,1205,1.29,1.7,1.11,0.4,0.11,0.5,1.944915091,0.003700837,0.003700837,Up
HUNK,4445,1.39,2.08,0.81,0.63,0.62,1.14,0.676972351,0.003696335,0.003696335,*
APOBEC3D,2515,0.48,0.74,0.44,0.17,0.13,0.06,2.288550639,0.00355629,0.00355629,Up
LHPP,1211,8.81,6.19,5.22,5.42,5.18,3.09,0.798994434,0.003447789,0.003447789,*
IDUA,2197,3.15,3.8,3.09,1.98,2.23,2.33,0.716099768,0.003442225,0.003442225,*
HEXD,2221,2.6,4.19,2.77,1.72,1.79,1.93,0.835751268,0.003116375,0.003116375,*
TCAF2,3713,3.12,3.21,2.73,1.76,2.49,1.85,0.639987279,0.003017852,0.003017852,*
NF1,2889,0.76,0.17,0.36,0.19,0.08,0.37,2.371085143,0.003014985,0.003014985,Up
TTLL1,1736,5.25,5.76,6.74,4.37,4.15,3.08,0.681060727,0.002956473,0.002956473,*
SLC43A2-2,7436,1.47,2.25,1.83,1.16,1.43,1.28,0.589451706,0.002915655,0.002915655,*
KCNG2,1876,0.76,0.63,0.88,0.19,0.08,0.06,2.482053324,0.002908985,0.002908985,Up
ZDHHC1,2256,4.79,4.66,3.92,2.95,2.86,3.29,0.617872414,0.00286938,0.00286938,*
LEISA1,3739,0.66,1.14,0.95,0.48,0.49,0.24,1.254467285,0.002803101,0.002803101,Up
