"GeneID","Con_1","Con_2","Con_3","DMEM_1","DMEM_2","DMEM_3","I6_1","I6_2","I6_3","R2_1","R2_2","R2_3","logFC","Pvalue","FDR"
"ABHD12B",8.09,7.99,7.99,7.85,8.03,8.2,9.26,9.26,9.32,9.31,8.25,8.85,0.057129752,0.576789565,0.576789565
"ANK3",0.15,0.2,0.17,0.21,0.24,0.27,0.3,0.31,0.3,0.14,0.12,0.14,-0.411580366,0.314538697,0.314538697
"ARL9",0.18,0.16,0.18,0.45,0.36,0.23,0.05,0.05,0.05,0.65,0.96,0.65,-0.764297843,0.409308594,0.409308594
"ZNF382",0.11,0.13,0.11,0.05,0.07,0.08,0.1,0.08,0.06,0.06,0.04,0.05,0.536714661,0.553653749,0.553653749
"CHST14",24.98,24.98,25.56,21.46,21.46,21.46,21.58,22.25,22,22.43,22.95,22.75,0.270860961,0.026412828,0.026412828
"RANBP1",209.52,206.11,209.52,197.24,212.25,183.88,194.7,199.61,203.57,217.49,229.63,225.46,0.201961514,0.026022132,0.026022132
"EHBP1L1",33.06,30.86,35.32,34.18,33.38,33.72,37.01,36.08,34.05,34.9,33.75,34.4,0.036171314,0.669548011,0.669548011
"ATG4A",6.44,6.44,6.51,8.99,8.82,8.99,8.15,8.38,8.75,7.98,7.81,7.98,-0.447921747,0.001189217,0.001189217
"TDRD12",0.05,0.05,0.07,0.11,0.11,0.2,0.01,0.01,0.01,0.02,0.01,0.02,-0.558654229,0.625235654,0.625235654
"LTO1",10.94,13.55,11.92,12.94,12.56,12.94,13.33,13.33,13.09,13.77,13.49,13.49,0.018422217,0.872852,0.872852
"RNF7",22.08,22.08,23.71,19.24,21.99,17.9,17.4,18.11,18.71,22.09,25.27,23.56,0.143401077,0.241181078,0.241181078
"MIEF2",5.09,5.09,5.41,4.37,4.37,4.37,4.41,4.39,4.41,4.22,4.16,4.16,0.280343191,0.182243458,0.182243458
"CCDC107",41.35,40.17,41.35,35.75,35.75,35.75,35.46,33.05,31.9,32.45,33.19,33.19,0.368029658,0.003688236,0.003688236
"ICA1L",0.39,0.23,0.23,0.27,0.14,0.33,0.21,0.19,0.16,0.12,0.12,0.12,-0.242885348,0.690857548,0.690857548
"CHCHD3",64.81,63.89,63.16,74.79,74.44,73.72,81.76,79.34,74.83,74.23,76.1,74.81,-0.131666234,0.064378243,0.064378243
"INTS13",7.27,9.48,6.22,10.02,9.58,10.85,11.04,10.25,10.73,8.26,8.09,7.81,-0.335843531,0.03677285,0.03677285
"ATP5IF1-2",148.22,133.63,122.83,122.23,127.92,111.15,127.52,119.13,114.67,124.3,122.89,121.54,0.283365509,0.009830632,0.009830632
"CCDC69",20.06,18.15,19.23,16.56,17.5,16.02,17.89,18.08,17.89,18.89,19.97,19.22,0.278914135,0.007838089,0.007838089
"TRIM39",0.5,0.5,0.47,0.48,0.48,0.45,0.63,0.63,0.66,0.62,0.66,0.62,0.094362,0.835150109,0.835150109
"MALINC1",0.1,0.1,0.1,0.12,0.05,0.26,0.36,0.36,0.42,0.09,0.08,0.1,-0.702452245,0.623606305,0.623606305
"EGFL8-2",0,0,0,0,0,0,0,0,0,0,0,0,2.631454029,0.509992183,0.509992183
"ACOT12",0,0,0,0.01,0.01,0.01,0.03,0.05,0.04,0,0,0,2.645287915,0.320013647,0.320013647
"LMF1",3.93,4.7,4.18,2.83,1.71,4.68,1.03,2.02,3.19,3.26,3.28,3.28,0.440474564,0.209748155,0.209748155
"ARHGAP9",0.34,0.78,0.58,0.4,0.42,0.42,0.23,0.23,0.19,1.05,1.1,1.1,0.083387195,0.884944603,0.884944603
"COPB1",45.31,46.71,46.71,70.62,65.97,75.61,66.91,67.7,67.7,57.41,47.98,54.2,-0.385850908,0.000405481,0.000405481
"VN1R1",0.16,0.16,0.13,0.09,0.07,0.09,0.26,0.18,0.23,0.16,0.15,0.16,0.616359913,0.525451142,0.525451142
"RNF144B",2.23,2.25,2.25,2.97,3.46,2.45,2.8,2.84,2.72,2.57,2.5,2.54,-0.295416673,0.112791927,0.112791927
"RNF19A",3.44,3.66,3.66,7.7,7.18,8.2,7.94,8.44,8.66,6.59,4.84,5.74,-0.623094714,0.01453867,0.01453867
"MARCKSL1",64.74,56.03,61.67,51.61,51.61,51.16,50.37,50.37,50.19,54.1,53.97,53.97,0.308701161,0.004219733,0.004219733
"SLC2A11",0.64,0.64,0.7,0.51,0.52,0.52,0.41,0.41,0.41,0.59,0.63,0.59,0.246736224,0.564032044,0.564032044
"NAP1L2",0.05,0.05,0.05,0.14,0.14,0.19,0.24,0.12,0.12,0,0,0,-0.826010959,0.651927812,0.651927812
"CARD11",12.11,12.72,14.05,11.86,11.2,12.66,12.17,12.1,12.17,12.59,13.43,12.91,0.195988063,0.050275325,0.050275325
"ECT2",18.27,20.47,20.47,42.58,39.43,44.7,34.72,36.17,38.64,32.53,20.82,26.77,-0.731265439,6.06e-05,6.06e-05
"UGGT2",1.22,1.22,0.98,1.88,1.76,1.83,1.37,1.51,1.71,1.2,0.98,1.06,-0.37674046,0.170987412,0.170987412
"TANGO6",6.02,6.02,5.57,6.4,6.4,6.38,6.95,6.83,6.64,7.15,6.93,6.74,0.014941355,0.917211723,0.917211723
"EEF1A2",14.57,14.57,15.12,11.76,11.76,11.76,9.72,10.69,11.22,10.88,10.79,10.88,0.302980721,0.107656743,0.107656743
"GPC1",19.92,19.92,21.01,16.15,16.15,16.19,16.73,16.73,16.83,15.29,17.28,16.14,0.319029855,0.027030115,0.027030115
