KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ko04611,Platelet activation,-0.292521904,-1.089049668,0.271875,0.462228003,1,16/108,7.45%,COL3A1-2;ADCY9;PTGS1;MYLK;ITGB3;GP1BA;COL1A2;ITPR1;VAMP8;PIK3CD;ACTG1-2;ACTG1;MAPK14;STIM1;ACTB;ADCY3
ko00830,Retinol metabolism,-0.359176988,-1.088077606,0.327077748,0.457914578,1,9/33,16.16%,ADH5;RDH10;DHRS3;DHRS4-2;RDH13-3;PNPLA4;DHRS4L2;DHRS4;RETSAT
ko04310,Wnt signaling pathway,0.285464477,1.087598046,0.274894811,0.59895306,1,36/158,15.37%,RAC2;FOSL1;TCF7;FZD1;CSNK2B;CSNK2B-4;CSNK2B-2;CSNK2B-3;DKK1;WNT5B;SARS1;WNT16;CCND1;CSNK2A2;PLCB3;CACYBP;APC;FZD7;TLE1;RNF227;NFATC2;PLCB1;TCF7L2;CSNK2A1;PRKACB;SFRP1;TBL1XR1;CSNK1E;WNT7B;PRKACA;OST4;CTBP2;CAMK2B;RHOA;NFATC4-2;NFATC4
ko04150,mTOR signaling pathway,-0.2681569,-1.087508744,0.208480565,0.452819745,1,21/164,5.90%,TNFRSF1A;PRR5;ULK2;RPS6KA2;IGF1R;FZD2;WNT3-3;WNT3-2;IRS1;ATP6V1B2;CASTOR2;LRP5;PIK3CD;FZD4;SGK1;WNT2;DVL2;MTOR;LPIN1;DVL3;PRSS23
ko00071,Fatty acid degradation,-0.346088202,-1.085818669,0.331476323,0.45009507,1,5/36,4.08%,ALDH1B1;CPT1C;ALDH2;ADH5;CPT1A
ko04613,Neutrophil extracellular trap formation,0.289142668,1.085668323,0.305232558,0.594112827,1,26/138,13.03%,RAC2;MAPK13;H2BC12;HMGB1;H3-3B;H2BC21;H3-3A;H2AX;SLC25A5;PLCB3;HDAC9;MACROH2A1;H2BC11;HAT1-2;SLC25A6-2;SLC25A6;H3-5;H2AC18;PLCB1;H2AC7;H2AC25-2;H2AC25;VDAC3;H2AZ1;VDAC1;H2AC8
ko00520,Amino sugar and nucleotide sugar metabolism,0.338143586,1.083726972,0.329211747,0.589108736,1,15/50,17.74%,GFPT1;GNPDA2;GMPPB;AMDHD2;NAGK;GFPT2;GNPNAT1;UGP2;UAP1;GALT;RENBP;PGM3;GFUS-2;GFUS;PGM2
ko04970,Salivary secretion,0.333178048,1.076653773,0.33713355,0.59761104,1,12/54,16.27%,PRKG2;ATP2B1;ATP2B4;PLCB3;SLC12A2;CALM1;PLCB1;PRKACB;ADRA1D;ATP1B1;PRKACA;KCNN4
ko00561,Glycerolipid metabolism,-0.318897017,-1.074910193,0.313953488,0.464948222,1,7/51,5.39%,PLPP3;AGPAT3;ALDH1B1;ALDH2;AKR1B1;PNPLA3;LPIN1
ko00480,Glutathione metabolism,-0.336762721,-1.074698916,0.362162162,0.459172585,1,6/45,1.87%,GCLM;PGD;GSTM2;GSR;GSTM3;G6PD
ko04664,Fc epsilon RI signaling pathway,0.330947049,1.071526482,0.338931298,0.601615035,1,16/55,24.62%,RAC2;MAPK13;PLA2G4A;VAV2;SOS2;NRAS;CSF2;PIK3CB;MAPK8;PLA2G4C;HRAS;HRAS-2;MAP2K1;PIK3R3;AKT2;PDPK1
ko04730,Long-term depression,0.342722638,1.068985483,0.367313916,0.599086107,1,16/45,23.96%,PRKG2;PLA2G4A;PLCB3;PPP2CA;ARAF;GNAI3;PLCB1;NRAS;PLA2G4C;HRAS;BRAF;HRAS-2;MAP2K1;PPP2R1A;GNA13;GNAQ
