GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
LOC105371399,-0.031026671,0.989488017,0.989488017,*,LOC105371399
LOC105371401,-0.214999747,0.157504448,0.157504448,*,LOC105371401
LOC105371403,0.914801964,0.772192256,0.772192256,*,LOC105371403
LOC105371472,0.49803789,0.851391975,0.851391975,*,LOC105371472
LOC105371480,-0.277688758,0.830798357,0.830798357,*,LOC105371480
LOC105371480-2,0.253136151,0.695798848,0.695798848,*,LOC105371480
LOC105371481,1.7826395,0.659091782,0.659091782,*,LOC105371481
LOC105371483,-1.005262704,0.805404059,0.805404059,*,LOC105371483
LOC105371490,2.99634882,0.220085088,0.220085088,*,LOC105371490
LOC105371493,0.820246724,0.360535327,0.360535327,*,LOC105371493
LOC105371501,1.404998336,0.702093057,0.702093057,*,LOC105371501
LOC105371520,-1.005262704,0.805404059,0.805404059,*,LOC105371520
LOC105371543,-0.043482025,0.991497804,0.991497804,*,LOC105371543
LOC105371554,1.448068021,0.659332502,0.659332502,*,LOC105371554
LOC105371566,-1.485930568,0.656207352,0.656207352,*,LOC105371566
LOC105371573,2.43888039,0.325331355,0.325331355,*,LOC105371573
LOC105371589,-2.877950281,0.46764803,0.46764803,*,LOC105371589
LOC105371592,0.918290647,0.821944146,0.821944146,*,LOC105371592
LOC105371619,-0.99788985,0.752094747,0.752094747,*,LOC105371619
LOC105371622,-0.053295878,0.986364991,0.986364991,*,LOC105371622
LOC105371629,0.918290647,0.821944146,0.821944146,*,LOC105371629
LOC105371630,-1.90198957,0.175117243,0.175117243,*,LOC105371630
LOC105371632,-0.351475856,0.850402838,0.850402838,*,LOC105371632
LOC105371634,-1.005262704,0.805404059,0.805404059,*,LOC105371634
LOC105371636,-0.718417307,0.755690411,0.755690411,*,LOC105371636
LOC105371637,0.886341184,0.6982525,0.6982525,*,LOC105371637
LOC105371651,2.626386908,0.363000566,0.363000566,*,LOC105371651
LOC105371664,-0.111808177,0.973360326,0.973360326,*,LOC105371664
LOC105371665,-1.581212758,0.628928402,0.628928402,*,LOC105371665
LOC105371688,0.28198021,0.805720899,0.805720899,*,LOC105371688
LOC105371692,-0.049168357,0.987101761,0.987101761,*,LOC105371692
LOC105371701,-0.043482025,0.991497804,0.991497804,*,LOC105371701
LOC105371711,1.176483421,0.545905964,0.545905964,*,LOC105371711
LOC105371716,-1.581009381,0.625435827,0.625435827,*,LOC105371716
LOC105371722,-0.477634034,0.639275665,0.639275665,*,LOC105371722
LOC105371722-2,-2.586033194,0.516781675,0.516781675,*,LOC105371722
LOC105371723,-0.043482025,0.991497804,0.991497804,*,LOC105371723
LOC105371729,0.918290647,0.821944146,0.821944146,*,LOC105371729
LOC105371730,0.638689233,0.553048441,0.553048441,*,LOC105371730
LOC105371750,-1.828313995,0.651239241,0.651239241,*,LOC105371750
LOC105371750-2,0.918290647,0.821944146,0.821944146,*,LOC105371750
LOC105371756,-0.681556936,0.809449028,0.809449028,*,LOC105371756
LOC105371763,-0.283150241,0.815939773,0.815939773,*,LOC105371763
LOC105371763-2,-0.283150241,0.815939773,0.815939773,*,LOC105371763
LOC105371770,2.366096007,0.553839929,0.553839929,*,LOC105371770
LOC105371773,0.624048185,0.545613663,0.545613663,*,LOC105371773
LOC105371785,-1.133955382,0.665621359,0.665621359,*,LOC105371785
LOC105371793,-2.940822922,0.39993705,0.39993705,*,LOC105371793
LOC105371795,-1.005262704,0.805404059,0.805404059,*,LOC105371795
LOC105371814,0.736364787,0.756088707,0.756088707,*,LOC105371814
LOC105371818,-0.727122002,0.681201908,0.681201908,*,LOC105371818
LOC105371840,0.918290647,0.821944146,0.821944146,*,LOC105371840
LOC105371855,0.118835158,0.926979321,0.926979321,*,LOC105371855
LOC105371856,2.642333665,0.276711901,0.276711901,*,LOC105371856
LOC105371870,-0.954200228,0.586303883,0.586303883,*,LOC105371870
LOC105371874,0.918290647,0.821944146,0.821944146,*,LOC105371874
LOC105371880,-2.427902623,0.543691302,0.543691302,*,LOC105371880
LOC105371896,2.733563164,0.29255508,0.29255508,*,LOC105371896
LOC105371903,-1.449529405,0.694324025,0.694324025,*,LOC105371903
LOC105371912,-0.641902429,0.375060046,0.375060046,*,LOC105371912
LOC105371925,-1.005262704,0.805404059,0.805404059,*,LOC105371925
LOC105371926,-0.043482025,0.991497804,0.991497804,*,LOC105371926
LOC105371932,1.749120319,0.031268536,0.031268536,Up,LOC105371932
LOC105371933,0.325219815,0.82574201,0.82574201,*,LOC105371933
LOC105371939,1.84580734,0.64735523,0.64735523,*,LOC105371939
LOC105371942,-1.525886668,0.613790922,0.613790922,*,LOC105371942
LOC105371952,-3.99138511,0.052523515,0.052523515,*,LOC105371952
LOC105371956,0.918290647,0.821944146,0.821944146,*,LOC105371956
LOC105371959,-0.311874878,0.734013432,0.734013432,*,LOC105371959
LOC105371959-2,0.406421235,0.749414874,0.749414874,*,LOC105371959
LOC105371967,-1.28202708,0.547935174,0.547935174,*,LOC105371967
LOC105371976,1.906993865,0.636057473,0.636057473,*,LOC105371976
LOC105371986,0.567390667,0.854211214,0.854211214,*,LOC105371986
LOC105371988,-1.005262704,0.805404059,0.805404059,*,LOC105371988
LOC105371993,-0.043482025,0.991497804,0.991497804,*,LOC105371993
LOC105371995,-3.324891586,0.344331615,0.344331615,*,LOC105371995
LOC105371996,0.918290647,0.821944146,0.821944146,*,LOC105371996
LOC105371998,1.75409309,0.664418947,0.664418947,*,LOC105371998
LOC105372026,-1.005262704,0.805404059,0.805404059,*,LOC105372026
LOC105372028,1.75409309,0.664418947,0.664418947,*,LOC105372028
LOC105372063,-2.823026104,0.477752804,0.477752804,*,LOC105372063
LOC105372064,0.008227475,0.992742088,0.992742088,*,LOC105372064
LOC105372093,-0.043482025,0.991497804,0.991497804,*,LOC105372093
LOC105372098,1.906993865,0.636057473,0.636057473,*,LOC105372098
LOC105372105,-1.872135161,0.104449186,0.104449186,*,LOC105372105
LOC105372105-2,4.208214152,0.135256156,0.135256156,*,LOC105372105
LOC105372106,-1.005262704,0.805404059,0.805404059,*,LOC105372106
