GeneID,Con_1,Con_2,Con_3,DMEM_1,DMEM_2,DMEM_3,logFC,Pvalue,FDR,I6_1,I6_2,I6_3,logFC,Pvalue,FDR,R2_1,R2_2,R2_3,logFC,Pvalue,FDR
ZNF263,8.61,8.76,9.13,8.95,8.69,8.79,0.095547404,0.398417153,0.398417153,8.77,7.95,7.59,-0.186420016,0.13928869,0.13928869,10.15,10.15,10,0.328771274,0.001178471,0.001178471
PHB1,270.87,260.64,285.52,226.95,230.64,224.26,0.347043681,3.28E-06,3.28E-06,227.79,229.04,229.73,-0.333728768,7.05E-06,7.05E-06,264.16,250.88,257.67,0.207424044,1.26E-12,1.26E-12
MBD5,0.43,0.71,0.45,0.55,0.5,0.69,0.276639306,0.471863537,0.471863537,0.92,0.67,0.55,0.052730847,0.890295336,0.890295336,0.64,0.48,0.52,-0.403443751,0.077634559,0.077634559
SLC52A1,0.06,0,0,0,0,0,2.04605018,0.612272264,0.612272264,0,0,0,-2.025303345,0.61588933,0.61588933,0.1,0,0.05,3.486273051,0.270295119,0.270295119
RRP15,4.31,6.04,4.82,6.72,6.43,7.21,-0.369736111,0.002442526,0.002442526,5.78,6.03,6.03,0.182849615,0.121801518,0.121801518,5.65,5.18,5.32,-0.126134085,0.101464982,0.101464982
PTCH1,1.5,1.26,1.39,1.78,1.74,1.98,-0.230772317,0.157317683,0.157317683,1.73,1.61,1.66,0.209444251,0.207398672,0.207398672,2.5,2.01,2.19,0.298162104,0.023921074,0.023921074
CHD4,36.47,36.12,40.31,46.07,44.5,47.83,-0.215132311,0.00891541,0.00891541,45.39,46.09,46.95,0.222004989,0.005656483,0.005656483,46.63,45.63,47.19,0.030625596,0.352710812,0.352710812
USP37,2.39,3.98,2.89,4.72,3.41,4.93,-0.447124826,0.054944526,0.054944526,4.06,4.21,4.52,0.473370238,0.026605383,0.026605383,3.56,3.22,3.2,-0.564262813,6.49E-08,6.49E-08
ZBTB5,2.76,3.16,2.76,3.43,3.61,3.66,-0.222754996,0.11514888,0.11514888,3.75,3.49,3.68,0.154093793,0.276677895,0.276677895,3.71,4.36,3.91,0.196668609,0.16140297,0.16140297
NAALADL1,0.02,0.02,0,0,0,0,1.973739366,0.625460858,0.625460858,0.02,0,0,-0.992597244,0.785286336,0.785286336,0,0,0,-0.928454447,0.820006984,0.820006984
TRIP4,6.18,6.49,5.86,7.86,8.04,8.28,-0.303855162,0.040451233,0.040451233,7.78,9.09,10.54,0.488668906,0.00572705,0.00572705,6.81,7,7.13,-0.35478311,0.023332085,0.023332085
ACSBG1,0.03,0.02,0,0,0,0.01,2.620105173,0.354809369,0.354809369,0,0,0.01,-2.59887305,0.354652365,0.354652365,0.05,0.06,0.05,3.249838454,0.086202126,0.086202126
EEF1AKMT4,28.09,20.64,26.76,18.92,17.8,20.45,0.500673144,0.010248281,0.010248281,20.01,18.36,17.47,-0.539277686,0.005827179,0.005827179,22,22.94,22.35,0.333640146,0.00956278,0.00956278
DTX2,22.38,18.77,21.8,18.81,19.06,17.76,0.257076281,0.023380908,0.023380908,17.89,17.88,18.27,-0.321982965,0.005133164,0.005133164,21.46,19.32,20.45,0.224368677,0.005834535,0.005834535
RNASE10-2,0.07,0.08,0.04,0,0,0.03,2.775314738,0.14609703,0.14609703,0,0.04,0.09,-0.516151399,0.725061951,0.725061951,0.05,0.03,0.01,-0.353133423,0.820650397,0.820650397
NAA35,4.76,6.4,5.05,7.03,6.63,7.27,-0.312021447,0.00944058,0.00944058,7.13,6.97,7.49,0.383796447,0.001304512,0.001304512,6.37,5.16,5.66,-0.299817829,0.003716212,0.003716212
CSDE1,60.42,81.99,58.11,97.78,93.32,102.13,-0.482461073,4.35E-06,4.35E-06,94.29,96.31,100.76,0.481202418,3.02E-06,3.02E-06,83.01,58.72,70.48,-0.433383087,0.001909831,0.001909831
ARL14,0.14,0.05,0,0.09,0.1,0,0.121419636,0.95826003,0.95826003,0.5,0.37,0.1,2.234793115,0.134977165,0.134977165,0.05,0.05,0.05,-2.755797538,0.041249918,0.041249918
ERLEC1,15.44,17.92,13.46,24.48,22.72,25.26,-0.553505019,1.49E-06,1.49E-06,24.46,23.5,20.92,0.484672805,5.84E-05,5.84E-05,22.64,17.52,20.1,-0.159754172,0.145064332,0.145064332
AGAP11,0.05,0.32,0.14,0.09,0.1,0.13,0.739558313,0.434852422,0.434852422,0.11,0.09,0.13,-0.708359197,0.450199627,0.450199627,0.12,0.13,0.13,0.282022842,0.706180309,0.706180309
TMEM222,37.93,28.97,34.21,23.95,25.03,24.05,0.557325008,0.000178347,0.000178347,26,26.7,28.09,-0.412481884,0.005610831,0.005610831,23.6,27.72,25.96,-0.015140381,0.878566912,0.878566912
